label,prec,rec
B-LOC,0.00,0.00
B-MISC,0.00,0.00
B-ORG,0.00,0.00
I-LOC,0.89,0.87
I-MISC,0.87,0.80
I-ORG,0.82,0.80
I-PER,0.92,0.91
O,0.99,1.00
