label,prec,rec
B-LOC,0.00,0.00
B-MISC,0.00,0.00
B-ORG,0.00,0.00
I-LOC,0.94,0.78
I-MISC,0.89,0.71
I-ORG,0.82,0.74
I-PER,0.94,0.85
O,0.97,0.99
