label,prec,rec
B-LOC,0.00,0.00
B-MISC,0.00,0.00
B-ORG,0.00,0.00
I-LOC,0.92,0.84
I-MISC,0.89,0.73
I-ORG,0.85,0.73
I-PER,0.95,0.85
O,0.97,0.99
