label,prec,rec
B-LOC,0.00,0.00
B-MISC,0.00,0.00
B-ORG,0.00,0.00
I-LOC,0.93,0.86
I-MISC,0.91,0.71
I-ORG,0.86,0.72
I-PER,0.95,0.84
O,0.97,0.99
